iter	RMSE
0	26.15148893
1	25.22513878
2	24.35797474
3	23.5409238
4	22.77983787
5	22.06729707
6	21.39957383
7	20.77886362
8	20.20048646
9	19.65991658
10	19.15792751
11	18.69110234
12	18.25602951
13	17.85476444
14	17.48135769
15	17.13898247
16	16.82068568
17	16.52758018
18	16.25632923
19	16.00680355
20	15.77561916
21	15.56336553
22	15.37040706
23	15.19023546
24	15.02545928
25	14.87454649
26	14.7343707
27	14.60784219
28	14.49253463
29	14.38536339
30	14.28751016
31	14.19829943
32	14.11724902
33	14.04279317
34	13.97381027
35	13.91140443
36	13.85333077
37	13.80129173
38	13.75300646
39	13.70925332
40	13.66940818
41	13.63207688
42	13.59853963
43	13.56808707
44	13.53958148
45	13.51341852
46	13.48961032
47	13.46805158
48	13.44844427
49	13.43039935
50	13.4139087
51	13.39801478
52	13.38363478
53	13.37081498
54	13.35839112
55	13.34748416
56	13.33776293
57	13.32857682
58	13.32008559
59	13.31241676
60	13.30529769
61	13.29834777
62	13.29217865
63	13.28656765
64	13.28138898
65	13.2766788
66	13.27135713
67	13.26694388
68	13.26245829
69	13.2584172
70	13.25507802
71	13.25142407
72	13.24842682
73	13.24553308
74	13.242534
75	13.2401425
76	13.23744034
77	13.23525897
78	13.23329186
79	13.23088004
80	13.22851768
81	13.22681972
82	13.22513415
83	13.22361322
84	13.22214002
85	13.22064245
86	13.21947906
87	13.2179484
88	13.21668945
89	13.21549797
90	13.21443756
91	13.21349815
92	13.2122418
93	13.21092528
94	13.20977921
95	13.20885208
96	13.20793146
97	13.20697543
98	13.20615715
99	13.20501622
100	13.20385954
101	13.20280829
102	13.20200793
103	13.20111409
104	13.2001904
105	13.19954545
106	13.19887925
107	13.19811855
108	13.19744319
109	13.19689307
110	13.19636111
111	13.19572102
112	13.19500006
113	13.19432555
114	13.19377581
115	13.19296985
116	13.19199909
117	13.19140023
118	13.19026358
119	13.1897258
120	13.18920619
121	13.18882507
122	13.18786361
123	13.18718469
124	13.18609773
125	13.18500765
126	13.18444032
127	13.18389017
128	13.18335921
129	13.18277614
130	13.18244944
131	13.18191337
132	13.1812134
133	13.1803829
134	13.17967931
135	13.17922203
136	13.17889474
137	13.17845717
138	13.17810103
139	13.17749293
140	13.17667991
141	13.1759827
142	13.17554553
143	13.17496414
144	13.17429467
145	13.17353559
146	13.17301079
147	13.17255531
148	13.17214232
149	13.17158811
150	13.17109411
151	13.17061274
152	13.17010554
153	13.16945759
154	13.16911387
155	13.16877013
156	13.16821982
157	13.16776417
158	13.16731914
159	13.16688219
160	13.16635814
161	13.16593584
162	13.16524819
163	13.16465014
164	13.16427084
165	13.16383379
166	13.1634575
167	13.16307107
168	13.16264614
169	13.16223436
170	13.16165643
171	13.16098325
172	13.16056331
173	13.160231
174	13.1596545
175	13.15911699
176	13.15885811
177	13.15833373
178	13.15808547
179	13.15776475
180	13.15735485
181	13.15701841
182	13.15659226
183	13.15618942
184	13.15578301
185	13.15524179
186	13.15486374
187	13.15420338
188	13.1538851
189	13.15348826
190	13.15325156
191	13.15291451
192	13.15259062
193	13.15241321
194	13.15198642
195	13.15166808
196	13.15127725
197	13.15082811
198	13.15039214
199	13.1501052
200	13.14979037
201	13.14949479
202	13.1491333
203	13.14886712
204	13.14844477
205	13.14814055
206	13.1478348
207	13.14725726
208	13.14683637
209	13.14646163
210	13.14620148
211	13.14583736
212	13.1456122
213	13.14523539
214	13.14502846
215	13.14477032
216	13.14441986
217	13.14414597
218	13.1438173
219	13.14356015
220	13.14313458
221	13.14289922
222	13.14251219
223	13.14215609
224	13.14186491
225	13.14161634
226	13.14133124
227	13.14104511
228	13.14067883
229	13.14027651
230	13.13994825
231	13.13972805
232	13.13933687
233	13.1390984
234	13.13869248
235	13.13852046
236	13.13826016
237	13.13799325
238	13.13774004
239	13.13747058
240	13.13721178
241	13.13693318
242	13.13637748
243	13.13607958
244	13.13574817
245	13.13551116
246	13.1351036
247	13.13466457
248	13.13428034
249	13.13398949
250	13.13367732
251	13.13324281
252	13.1328098
253	13.13259
254	13.13236714
255	13.1320397
256	13.13166656
257	13.1313391
258	13.13104972
259	13.13088827
260	13.13044706
261	13.13022518
262	13.12970474
263	13.12944579
264	13.12919749
265	13.1287288
266	13.12842362
267	13.12810624
268	13.127669
269	13.12736226
270	13.12713068
271	13.12681683
272	13.12650652
273	13.12623734
274	13.12593616
275	13.12560043
276	13.12535714
277	13.12512654
278	13.12475676
279	13.12450329
280	13.12405273
281	13.12381601
282	13.12345077
283	13.12317086
284	13.12278781
285	13.1225465
286	13.12216192
287	13.12172753
288	13.12140795
289	13.12100047
290	13.12079672
291	13.12042784
292	13.120219
293	13.11990904
294	13.11954674
295	13.11901927
296	13.11854921
297	13.11832967
298	13.11807709
299	13.11778538
300	13.11749468
301	13.11729799
302	13.11692545
303	13.11675366
304	13.11646141
305	13.11627996
306	13.11602836
307	13.11581996
308	13.11558767
309	13.11529895
310	13.11508749
311	13.11487247
312	13.11462644
313	13.11438599
314	13.11411809
315	13.11392237
316	13.11374546
317	13.11353194
318	13.11319997
319	13.11294475
320	13.11267936
321	13.11249277
322	13.11230059
323	13.11192536
324	13.11168436
325	13.11129183
326	13.11103301
327	13.11056368
328	13.11033638
329	13.11002314
330	13.10968192
331	13.10935493
332	13.10899488
333	13.10873907
334	13.10834289
335	13.10810843
336	13.10785566
337	13.10759627
338	13.10702509
339	13.10670617
340	13.10637402
341	13.10616293
342	13.10593402
343	13.1057097
344	13.10535921
345	13.1051247
346	13.10479047
347	13.10462921
348	13.10441401
349	13.10420238
350	13.10391952
351	13.1035817
352	13.10321945
353	13.10286737
354	13.1026496
355	13.1023835
356	13.10220236
357	13.10194388
358	13.10174136
359	13.10150729
360	13.10132767
361	13.101002
362	13.10061423
363	13.10038778
364	13.10011959
365	13.09994911
366	13.09967735
367	13.09952671
368	13.09934706
369	13.09922186
370	13.09890988
371	13.09875261
372	13.09840601
373	13.09808383
374	13.09790416
375	13.09751121
376	13.09719919
377	13.09690192
378	13.09663926
379	13.0964779
380	13.0960396
381	13.09590165
382	13.09558195
383	13.09522865
384	13.09499243
385	13.09475824
386	13.094633
387	13.09433873
388	13.09408874
389	13.09390291
390	13.09359233
391	13.09326544
392	13.09310811
393	13.09294976
394	13.09262133
395	13.09235451
396	13.09215439
397	13.09198126
398	13.09179285
399	13.09163906
400	13.09137833
401	13.09113339
402	13.09091288
403	13.09065977
404	13.09045352
405	13.09031805
406	13.09002368
407	13.08971352
408	13.08946396
409	13.08926838
410	13.08913697
411	13.08887976
412	13.08853493
413	13.08833374
414	13.08801436
415	13.08778158
416	13.08743621
417	13.08714382
418	13.08690083
419	13.08664255
420	13.08641688
421	13.08622431
422	13.08605925
423	13.08583458
424	13.08562774
425	13.08514527
426	13.08494045
427	13.08474073
428	13.08446254
429	13.0841339
430	13.08390614
431	13.0836101
432	13.08334972
433	13.08308883
434	13.08288347
435	13.08259047
436	13.08239428
437	13.08214916
438	13.08181995
439	13.08158655
440	13.08133276
441	13.08097193
442	13.08072679
443	13.0805214
444	13.08027013
445	13.07997859
446	13.07972885
447	13.07954943
448	13.07938378
449	13.07918397
450	13.07898212
451	13.07872063
452	13.07845506
453	13.07825575
454	13.07801361
455	13.07779543
456	13.07759866
457	13.07734173
458	13.07715616
459	13.07694868
460	13.07669479
461	13.07650667
462	13.07629152
463	13.07611002
464	13.07598868
465	13.07572254
466	13.0755237
467	13.07531211
468	13.07503983
469	13.07481753
470	13.07466405
471	13.07449425
472	13.07426786
473	13.07405675
474	13.07389817
475	13.07366258
476	13.07345606
477	13.073248
478	13.07281454
479	13.0725667
480	13.07243002
481	13.07220563
482	13.07204396
483	13.0717757
484	13.07156609
485	13.07144164
486	13.07121825
487	13.07096171
488	13.07078728
489	13.07055316
490	13.0702609
491	13.0700783
492	13.06975542
493	13.069507
494	13.06924889
495	13.06904179
496	13.06878112
497	13.06853014
498	13.068322
499	13.06799143
500	13.06778022
501	13.06756391
502	13.06734148
503	13.0671221
504	13.06676446
505	13.06660425
506	13.06630323
507	13.06601852
508	13.06575983
509	13.0655588
510	13.06530877
511	13.06507405
512	13.06486076
513	13.06453622
514	13.06429281
515	13.06408155
516	13.06384221
517	13.06350795
518	13.06323543
519	13.0630859
520	13.06288074
521	13.06265159
522	13.06242959
523	13.06220961
524	13.06197178
525	13.06178548
526	13.06145729
527	13.06119749
528	13.06104794
529	13.06075087
530	13.06046094
531	13.06025013
532	13.05993262
533	13.05973098
534	13.05943184
535	13.05933434
536	13.05917966
537	13.05905561
538	13.05894023
539	13.05881261
540	13.05867732
541	13.05847362
542	13.05829136
543	13.05806673
544	13.05794471
545	13.05777316
546	13.05753269
547	13.05736114
548	13.05725239
549	13.05709922
550	13.05693124
551	13.0565197
552	13.05626184
553	13.05605504
554	13.05582782
555	13.05563276
556	13.05543871
557	13.05522322
558	13.05509658
559	13.05483103
560	13.05465894
561	13.05430504
562	13.05404918
563	13.0537402
564	13.05361917
565	13.053397
566	13.05306656
567	13.052826
568	13.05266614
569	13.05254407
570	13.05229022
571	13.05202768
572	13.05181929
573	13.05160118
574	13.05144028
575	13.05122829
576	13.05109191
577	13.05090699
578	13.05080891
579	13.05055299
580	13.05036091
581	13.05016117
582	13.05001354
583	13.04980102
584	13.04965542
585	13.04935452
586	13.04911696
587	13.048861
588	13.04870006
589	13.04850183
590	13.04836184
591	13.04819221
592	13.04789587
593	13.0475704
594	13.04736244
595	13.04718412
596	13.04699914
597	13.04676001
598	13.04659445
599	13.04648254
600	13.04621989
601	13.04603388
602	13.04581772
603	13.04564499
604	13.04550548
605	13.04536239
606	13.04503124
607	13.0447614
608	13.04447827
609	13.04422682
