iter	Passed	Remaining
429	1774	6480
430	1779	6476
431	1783	6473
432	1787	6469
433	1792	6466
434	1796	6462
435	1800	6459
436	1804	6454
437	1808	6449
438	1812	6446
439	1817	6444
440	1823	6446
441	1827	6442
442	1832	6438
443	1836	6435
444	1840	6430
445	1844	6427
446	1849	6424
447	1853	6421
448	1857	6417
449	1862	6414
450	1866	6409
451	1870	6404
452	1873	6399
453	1877	6394
454	1882	6390
455	1886	6386
456	1890	6381
457	1894	6376
458	1897	6371
459	1901	6366
460	1905	6362
461	1909	6357
462	1913	6352
463	1917	6348
464	1921	6344
465	1926	6340
466	1930	6337
467	1934	6333
468	1938	6328
469	1942	6323
470	1946	6320
471	1950	6315
472	1954	6310
473	1958	6306
474	1963	6304
475	1967	6298
476	1971	6294
477	1975	6291
478	1979	6286
479	1983	6281
480	1987	6276
481	1991	6272
482	1995	6268
483	2000	6264
484	2004	6260
485	2008	6256
486	2012	6252
487	2016	6247
488	2021	6245
489	2024	6240
490	2029	6236
491	2033	6231
492	2037	6228
493	2041	6224
494	2045	6220
495	2050	6216
496	2054	6212
497	2058	6208
498	2062	6203
499	2067	6201
500	2071	6197
501	2075	6192
502	2079	6189
503	2083	6185
504	2087	6181
505	2092	6176
506	2096	6172
507	2100	6167
508	2103	6162
509	2107	6158
510	2111	6154
511	2115	6149
512	2120	6145
513	2124	6140
514	2128	6136
515	2132	6131
516	2135	6126
517	2139	6121
518	2143	6117
519	2148	6114
520	2152	6109
521	2157	6107
522	2162	6106
523	2166	6103
524	2170	6098
525	2174	6093
526	2178	6089
527	2182	6085
528	2186	6080
529	2190	6076
530	2195	6073
531	2201	6073
532	2205	6070
533	2209	6066
534	2213	6061
535	2218	6058
536	2222	6054
537	2226	6050
538	2230	6046
539	2234	6041
540	2238	6037
541	2243	6033
542	2247	6029
543	2253	6030
544	2257	6026
545	2261	6022
546	2265	6019
547	2270	6015
548	2273	6009
549	2278	6006
550	2282	6002
551	2286	5998
552	2290	5993
553	2294	5989
554	2298	5985
555	2303	5981
556	2306	5976
557	2311	5973
558	2315	5969
559	2321	5968
560	2326	5967
561	2330	5964
562	2335	5960
563	2339	5956
564	2343	5953
565	2348	5949
566	2352	5944
567	2356	5941
568	2361	5937
569	2365	5933
570	2369	5930
571	2373	5924
572	2378	5922
573	2381	5917
574	2385	5912
575	2389	5906
576	2393	5901
577	2397	5897
578	2401	5894
579	2405	5889
580	2409	5885
581	2414	5883
582	2418	5878
583	2422	5874
584	2426	5869
585	2431	5866
586	2435	5862
587	2439	5858
588	2444	5854
589	2447	5849
590	2452	5845
591	2455	5841
592	2460	5837
593	2464	5832
594	2467	5827
595	2471	5823
596	2476	5819
597	2480	5814
598	2484	5809
599	2488	5805
600	2492	5801
601	2496	5796
602	2500	5791
603	2504	5787
604	2508	5783
605	2511	5778
606	2515	5773
607	2519	5768
608	2523	5764
609	2527	5759
610	2531	5755
611	2535	5751
612	2539	5746
613	2543	5742
614	2547	5737
615	2552	5735
616	2556	5730
617	2560	5725
618	2564	5720
619	2568	5716
620	2572	5712
621	2576	5707
622	2580	5702
623	2584	5698
624	2588	5694
625	2591	5688
626	2595	5684
627	2599	5679
628	2603	5675
629	2607	5670
630	2612	5668
631	2616	5663
632	2620	5659
633	2624	5654
634	2628	5649
635	2632	5645
636	2636	5640
637	2640	5637
638	2644	5632
639	2648	5627
640	2652	5622
641	2656	5618
642	2659	5613
643	2664	5609
644	2668	5605
645	2672	5601
646	2676	5596
647	2680	5592
648	2684	5588
649	2688	5583
650	2692	5579
651	2696	5575
652	2700	5571
653	2704	5566
654	2708	5562
655	2713	5560
656	2717	5555
657	2722	5552
658	2727	5549
659	2731	5545
660	2735	5540
661	2739	5536
662	2743	5531
663	2747	5527
664	2751	5522
665	2755	5518
666	2759	5514
667	2763	5509
668	2767	5505
669	2770	5500
670	2774	5495
671	2778	5490
672	2782	5486
673	2786	5481
674	2790	5477
675	2794	5473
676	2798	5468
677	2802	5463
678	2807	5462
679	2811	5458
680	2815	5453
681	2819	5449
682	2823	5444
683	2827	5440
684	2831	5436
685	2835	5431
686	2839	5426
687	2843	5423
688	2847	5418
689	2851	5414
690	2856	5410
691	2860	5406
692	2864	5402
693	2868	5398
694	2872	5393
695	2876	5389
696	2880	5385
697	2884	5381
698	2888	5376
699	2892	5371
700	2896	5367
701	2900	5363
702	2904	5358
703	2908	5354
704	2912	5350
705	2917	5346
706	2921	5342
707	2925	5338
708	2929	5333
709	2932	5328
710	2936	5324
711	2941	5320
712	2944	5315
713	2948	5311
714	2952	5306
715	2956	5302
716	2961	5298
717	2965	5294
718	2969	5290
719	2973	5286
720	2977	5281
721	2981	5277
722	2985	5273
723	2989	5269
724	2993	5264
725	2997	5260
726	3001	5256
727	3005	5251
728	3009	5246
729	3013	5242
730	3017	5237
731	3021	5233
732	3025	5229
733	3029	5225
734	3033	5221
735	3037	5216
736	3041	5212
737	3045	5208
738	3050	5204
739	3054	5200
740	3057	5195
741	3062	5191
742	3065	5186
743	3070	5183
744	3074	5179
745	3078	5174
746	3082	5171
747	3087	5167
748	3091	5163
749	3095	5158
750	3099	5154
751	3103	5150
752	3107	5145
753	3111	5141
754	3115	5137
755	3119	5132
756	3123	5128
757	3127	5123
758	3131	5119
759	3135	5115
760	3138	5110
761	3142	5105
762	3146	5101
763	3150	5096
764	3154	5092
765	3158	5088
766	3162	5084
767	3166	5079
768	3170	5075
769	3174	5070
770	3178	5066
771	3182	5061
772	3186	5057
773	3190	5052
774	3193	5048
775	3198	5044
776	3202	5039
777	3206	5035
778	3210	5031
779	3214	5027
780	3218	5023
781	3222	5019
782	3226	5015
783	3230	5011
784	3234	5006
785	3238	5002
786	3242	4998
787	3246	4993
788	3250	4989
789	3254	4984
790	3258	4980
791	3262	4976
792	3266	4971
793	3270	4967
794	3274	4962
795	3278	4959
796	3282	4954
797	3286	4950
798	3290	4946
799	3294	4941
800	3298	4937
801	3302	4933
802	3306	4929
803	3310	4925
804	3315	4921
805	3318	4916
806	3323	4912
807	3327	4908
808	3331	4904
809	3335	4900
810	3339	4896
811	3344	4892
812	3348	4888
813	3352	4884
814	3356	4879
815	3360	4875
816	3364	4871
817	3368	4867
818	3372	4863
819	3376	4858
820	3380	4854
821	3384	4850
822	3388	4845
823	3392	4841
824	3396	4836
825	3400	4832
826	3404	4828
827	3407	4823
828	3411	4819
829	3415	4814
830	3419	4810
831	3423	4805
832	3427	4801
833	3431	4797
834	3435	4793
835	3439	4788
836	3443	4784
837	3447	4780
838	3451	4776
839	3455	4771
840	3459	4767
841	3463	4763
842	3467	4759
843	3471	4755
844	3475	4750
845	3479	4746
846	3483	4742
847	3487	4738
848	3491	4734
849	3496	4730
850	3500	4725
851	3504	4721
852	3508	4717
853	3512	4713
854	3516	4708
855	3520	4704
856	3524	4700
857	3528	4696
858	3533	4693
859	3537	4689
860	3541	4685
861	3545	4680
862	3549	4676
863	3553	4672
864	3557	4668
865	3561	4663
866	3565	4659
867	3569	4655
868	3574	4651
869	3578	4648
870	3582	4644
871	3586	4640
872	3590	4635
873	3594	4631
874	3598	4626
875	3602	4622
876	3606	4618
877	3610	4614
878	3614	4609
879	3618	4605
880	3622	4601
881	3626	4597
882	3630	4593
883	3634	4588
884	3638	4584
885	3643	4580
886	3647	4576
887	3651	4572
888	3654	4567
889	3658	4563
890	3662	4559
891	3667	4555
892	3671	4551
893	3675	4546
894	3679	4542
895	3683	4538
896	3687	4533
897	3691	4529
898	3695	4525
899	3699	4522
900	3704	4518
901	3709	4515
902	3713	4511
903	3717	4506
904	3721	4502
905	3725	4498
906	3729	4494
907	3733	4490
908	3737	4485
909	3741	4481
910	3745	4477
911	3749	4473
912	3753	4468
913	3757	4464
914	3761	4460
915	3765	4456
916	3769	4451
917	3773	4447
918	3777	4442
919	3781	4438
920	3785	4434
921	3789	4430
922	3793	4426
923	3797	4421
924	3801	4417
925	3805	4413
926	3809	4409
927	3812	4404
928	3816	4400
929	3821	4396
930	3825	4392
931	3829	4388
932	3833	4384
933	3837	4380
934	3841	4376
935	3845	4371
936	3849	4367
937	3853	4363
938	3858	4359
939	3862	4355
940	3866	4351
941	3870	4346
942	3873	4342
943	3877	4337
944	3882	4334
945	3887	4330
946	3891	4326
947	3895	4322
948	3899	4318
949	3903	4314
950	3907	4310
951	3911	4305
952	3915	4301
953	3919	4297
954	3923	4293
955	3927	4288
956	3931	4284
957	3935	4280
958	3939	4275
959	3943	4271
960	3947	4267
961	3951	4263
962	3955	4259
963	3959	4255
964	3963	4250
965	3967	4246
966	3971	4242
967	3975	4238
968	3979	4234
969	3983	4230
970	3987	4225
971	3991	4221
972	3995	4217
973	3999	4213
974	4003	4209
975	4007	4204
976	4011	4200
977	4016	4196
978	4020	4192
979	4023	4188
980	4027	4184
981	4031	4179
982	4035	4175
983	4039	4171
984	4044	4167
985	4048	4162
986	4051	4158
987	4056	4154
988	4060	4150
989	4064	4146
990	4068	4142
991	4072	4137
992	4076	4133
993	4080	4129
994	4084	4125
995	4087	4120
996	4091	4116
997	4096	4112
998	4099	4108
999	4103	4103
1000	4107	4099
1001	4111	4095
1002	4116	4091
1003	4120	4088
1004	4125	4084
1005	4130	4080
1006	4134	4077
1007	4139	4073
1008	4143	4069
1009	4148	4066
1010	4153	4063
1011	4157	4059
1012	4162	4055
1013	4167	4052
1014	4171	4048
1015	4176	4044
1016	4180	4040
1017	4184	4036
1018	4188	4032
1019	4192	4028
1020	4196	4024
1021	4200	4020
1022	4204	4015
